year	clipa	grid	dev_desc	species	strainname	nostocked	yreq	events
2005	4	2146	Yearling	lake trout	Slate Island	55753	55753	2
2005	4	2246	Yearling	lake trout	Slate Island	34484	34484	2
2005	4	2333	Yearling	lake trout	Slate Island	82672	82672	2
2005	4	2730	Yearling	lake trout	Slate Island	125046	125046	3
2005	5	0430	Yearling	lake trout	Iroquois Bay	10484	10484	2
2005	5	0521	Yearling	lake trout	Big Sound	18568	18568	3
2005	5	0521	Yearling	lake trout	Iroquois Bay	18764	18764	3
2005	5	0625	Yearling	lake trout	Big Sound	266	266	1
2005	5	0625	Yearling	lake trout	Iroquois Bay	469	469	1
2005	5	0628	Yearling	lake trout	Iroquois Bay	11414	11414	1
2005	5	0730	Yearling	lake trout	Michipicoten	116	116	1
2005	5	0927	Yearling	lake trout	Lake Manitou	11794	11794	2
2005	5	0933	Yearling	lake trout	Michipicoten	5407	5407	1
2005	5	0935	Yearling	lake trout	Michipicoten	8651	8651	2
2005	5	1026	Yearling	lake trout	Michipicoten	5639	5639	1
2005	5	1031	Yearling	lake trout	Michipicoten	10737	10737	2
2005	5	1246	Yearling	lake trout	Big Sound	10739	10739	1
2005	5	1330	Fingerling	lake trout	Michipicoten	18641	7456	1
2005	5	1331	Yearling	lake trout	Michipicoten	31521	31521	1
2005	5	1349	Yearling	lake trout	Big Sound	5355	5355	1
2005	5	1535	Fingerling	lake trout	Slate Island	10123	4049	1
2005	5	1535	Yearling	lake trout	Slate Island	10781	10781	1
2005	5	1636	Yearling	lake trout	Slate Island	9873	9873	1
2005	5	1939	Fingerling	lake trout	Slate Island	9835	3934	1
2005	5	2040	Yearling	lake trout	Slate Island	10408	10408	1
2005	5	2043	Yearling	lake trout	Seneca Lake	21539	21539	1
2005	5	2139	Adult	lake trout	Big Sound	172	172	1
2005	5	2246	Fingerling	lake trout	Slate Island	10306	4122	1
2005	5	2246	Yearling	lake trout	Slate Island	10493	10493	1
2005	5	2631	Yearling	lake trout	Slate Island	25429	25429	1
2005	5	2730	Yearling	lake trout	Slate Island	25479	25479	1
2006	0	0330	Fingerling	walleye	Wild	16000	6400	1
2006	0	0432	Fry	walleye	Lake Manitou	1000000	20000	1
2006	0	0628	Fingerling	walleye	Wild	82500	33000	1
2006	0	0729	Fingerling	walleye	Wild	8500	3400	1
2006	0	1551	Fry	walleye	Wild	257	5	1
2006	0	1736	Fingerling	rainbow trout	Wild	5540	2216	1
2006	0	1736	Yearling	brown trout	Ganaraska River	2700	2700	1
2006	0	1835	Yearling	brown trout	Ganaraska River	2658	2658	1
2006	0	1937	Fingerling	brown trout	Ganaraska River	26167	10467	1
2006	0	1937	Fingerling	rainbow trout	Wild	5000	2000	2
2006	0	2139	Fingerling	rainbow trout	Wild	21400	8560	1
2006	0	2139	Yearling	brown trout	Ganaraska River	60000	60000	1
2006	0	2143	Fingerling	brown trout	Ganaraska River	36700	14680	1
2006	0	2234	Fry	rainbow trout	Wild	27000	540	4
2006	0	2234	Yearling	brown trout	Ganaraska River	7962	7962	3
2006	0	2245	Fingerling	brown trout	Ganaraska River	36567	14627	1
2006	0	2245	Fry	rainbow trout	Wild	110000	2200	1
2006	0	2248	Fingerling	brown trout	Ganaraska River	36245	14498	1
2006	0	2333	Yearling	brown trout	Ganaraska River	9401	9401	3
2006	0	2334	Yearling	brown trout	Ganaraska River	200	200	1
2006	0	2432	Yearling	brown trout	Ganaraska River	12826	12826	7
2006	0	2531	Yearling	brown trout	Ganaraska River	9223	9223	5
2006	0	2531	Yearling	rainbow trout	Unknown	300	300	1
2006	0	2631	Yearling	brown trout	Ganaraska River	6817	6817	3
2006	0	2829	Yearling	brown trout	Ganaraska River	10692	10692	4
2006	0	3030	Fingerling	rainbow trout	Wild	29000	11600	4
2006	0	3230	Fingerling	rainbow trout	Wild	87400	34960	8
2006	0	3330	Fry	rainbow trout	Wild	35000	700	2
2006	0	3430	Fry	rainbow trout	Wild	35000	700	2
2006	0	4022	Adult	brown trout	Ganaraska River	27	27	1
2006	0	4022	Adult	rainbow trout	Unknown	60	60	1
2006	0	4022	Fingerling	brown trout	Ganaraska River	2125	850	1
2006	1	1952	Yearling	brown trout	Ganaraska River	4449	4449	1
